timestamp,operating_phase,ground_truth_anomaly,pressure,temperature,flow_rate,production_choke,gas_lift_choke,production_valve,dhsv
2026-03-31 15:15:00,NORMAL,0,99.98,64.91,249.2,80.68,45.09,1,1
2026-03-31 15:15:10,NORMAL,0,99.71,64.87,249.7,80.45,44.69,1,1
2026-03-31 15:15:20,NORMAL,0,99.83,65.09,252.35,79.64,45.23,1,1
2026-03-31 15:15:30,NORMAL,0,100.25,65.05,249.94,79.25,45.28,1,1
2026-03-31 15:15:40,NORMAL,0,100.0,64.72,249.68,78.52,44.41,1,1
2026-03-31 15:15:50,NORMAL,0,100.14,65.22,250.45,79.73,44.61,1,1
2026-03-31 15:16:00,NORMAL,0,100.27,64.98,246.25,81.21,45.04,1,1
2026-03-31 15:16:10,NORMAL,0,99.85,64.78,250.27,80.22,44.91,1,1
2026-03-31 15:16:20,NORMAL,0,100.3,65.24,252.33,79.72,44.99,1,1
2026-03-31 15:16:30,NORMAL,0,100.15,65.13,249.87,80.23,44.74,1,1
2026-03-31 15:16:40,NORMAL,0,99.51,64.75,251.19,79.22,45.26,1,1
2026-03-31 15:16:50,NORMAL,0,100.58,65.36,249.55,79.85,45.23,1,1
2026-03-31 15:17:00,NORMAL,0,99.8,65.13,251.78,80.05,45.02,1,1
2026-03-31 15:17:10,NORMAL,0,99.34,65.0,248.46,79.96,45.34,1,1
2026-03-31 15:17:20,NORMAL,0,99.58,65.32,248.4,80.4,45.14,1,1
2026-03-31 15:17:30,NORMAL,0,99.59,65.03,251.21,80.17,44.74,1,1
2026-03-31 15:17:40,NORMAL,0,100.02,64.99,248.88,80.33,45.11,1,1
2026-03-31 15:17:50,NORMAL,0,99.89,64.87,252.21,79.66,44.71,1,1
2026-03-31 15:18:00,NORMAL,0,99.87,65.12,249.82,80.45,45.26,1,1
2026-03-31 15:18:10,NORMAL,0,100.25,65.1,246.55,80.81,44.99,1,1
2026-03-31 15:18:20,NORMAL,0,100.14,65.0,247.8,79.51,44.94,1,1
2026-03-31 15:18:30,NORMAL,0,100.13,64.84,245.6,79.56,44.8,1,1
2026-03-31 15:18:40,NORMAL,0,100.16,65.03,249.29,80.67,45.37,1,1
2026-03-31 15:18:50,NORMAL,0,100.25,64.99,249.18,79.9,44.95,1,1
2026-03-31 15:19:00,NORMAL,0,99.16,64.73,251.22,80.7,44.87,1,1
2026-03-31 15:19:10,NORMAL,0,99.85,64.71,251.94,79.78,44.89,1,1
